,Time,Username,Tweets,STOP_REMOVAL,Label
16,2022-06-14 13:55:04+00:00,aniyovita, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
17,2022-06-14 13:33:11+00:00,daniellsinaga,yuk saling follow instagran apa saja refleksi guru akhir tahun pelajaran yuk tuliskan kolom komentar httpstcoliwritum2q,yuk follow instagran refleksi guru pelajaran yuk tuliskan kolom komentar httpstcoliwritum2q,neutral
18,2022-06-14 13:27:15+00:00,iaiibrahimygtg,hollaaa telah dibuka pendaftaran program pascasarjana magister pendidikan agama islam ayuk buruan daftarr pmb httpstcobfc6xo5x1q,hollaaa dibuka pendaftaran program pascasarjana magister pendidikan agama islam ayuk buruan daftarr pmb httpstcobfc6xo5x1q,neutral
19,2022-06-14 13:27:04+00:00,olli_th, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
20,2022-06-14 13:21:07+00:00,meowgyie,pendaftaran mahasiswa amp mahasiswi stie widya manggala semarang tahun 20222023 telah buka untuk cek inform httpstcolpq7hzbrnl,pendaftaran mahasiswa amp mahasiswi stie widya manggala semarang 20222023 buka cek inform httpstcolpq7hzbrnl,neutral
21,2022-06-14 12:35:43+00:00,aruL__45, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
22,2022-06-14 12:28:41+00:00,Kemdikbud_RI,pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada httpstcozd7ubk56z6,pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan httpstcozd7ubk56z6,neutral
23,2022-06-14 12:04:59+00:00,KamiPengajar,ditunggu loh terobosan terobosan dari sobat pengajar untuk mewujudkan merdeka belajar kamipengajar httpstcoij9frprkee,ditunggu loh terobosan terobosan sobat pengajar mewujudkan merdeka belajar kamipengajar httpstcoij9frprkee,neutral
24,2022-06-14 11:37:04+00:00,disdikbudhsu, halo sahabatppg yuk ikuti seleksi ppg prajabatan 2022 berikut persyaratannya tunggu apalagi wujudkan mim httpstcowhokkcz7rd, halo sahabatppg yuk ikuti seleksi ppg prajabatan 2022 persyaratannya tunggu wujudkan mim httpstcowhokkcz7rd,neutral
25,2022-06-14 11:24:57+00:00,updatebalii,program studi sarjana ekonomi fakultas ekonomi dan bisnis universitas udayana telah melaksanakan kegiatan jumpa pro httpstcoqyy40npbeu,program studi sarjana ekonomi fakultas ekonomi bisnis universitas udayana melaksanakan kegiatan jumpa pro httpstcoqyy40npbeu,neutral
26,2022-06-14 09:56:46+00:00,museumsandiina,dan serentak bergerak menjaga cagar budaya kita utk kemajuan indonesia masa depan museumsandimuseumjogja httpstcorzil32qvii,serentak bergerak menjaga cagar budaya utk kemajuan indonesia museumsandimuseumjogja httpstcorzil32qvii,neutral
27,2022-06-14 09:20:11+00:00,MhdHafrinda, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
28,2022-06-14 09:19:25+00:00,HexxaHS, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
29,2022-06-14 09:00:27+00:00,unikomtwit,diinformasikan kepada seluruh mahasiswa yang telah mengikuti kegiatan pogram merdeka belajar kampus merdeka mbkm httpstconhf8vvpifr,diinformasikan mahasiswa mengikuti kegiatan pogram merdeka belajar kampus merdeka mbkm httpstconhf8vvpifr,neutral
30,2022-06-14 07:32:24+00:00,aghostmr99, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
31,2022-06-14 06:30:53+00:00,KamiPengajar, sobat pengajar hayoo ngaku siapa yang kalo baca buku masih sering mengantuk nggak usah malumalu ngaku aja httpstcotaec2zmnel, sobat pengajar hayoo ngaku kalo baca buku mengantuk nggak malumalu ngaku aja httpstcotaec2zmnel,neutral
32,2022-06-14 06:23:15+00:00,meloandblue, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
33,2022-06-14 06:22:39+00:00,Kemdikbud_RI,pelestarian dimaknai sebagai upaya dinamis untuk mempertahankan keberadaan cagar budaya dengan cara melindungi men httpstcopqz4l0w7vt,pelestarian dimaknai upaya dinamis mempertahankan keberadaan cagar budaya melindungi men httpstcopqz4l0w7vt,neutral
34,2022-06-14 06:22:39+00:00,Kemdikbud_RI,sesuai perkembangannya visi pelestarian yang awalnya hanya menekankan pada aspek pelindungan keberadaan fisik peni httpstcoxkku82i833,sesuai perkembangannya visi pelestarian menekankan aspek pelindungan keberadaan fisik peni httpstcoxkku82i833,neutral
35,2022-06-14 06:22:37+00:00,Kemdikbud_RI,dalam perjalanannya lembaga ini telah mengalami beberapa kali perubahan nama tetapi tetap mengacu pada visi yang httpstcodx3cvusaps,perjalanannya lembaga mengalami kali perubahan nama mengacu visi httpstcodx3cvusaps,neutral
36,2022-06-14 06:22:36+00:00,Kemdikbud_RI,sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie httpstcobnleluz8eu,sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie httpstcobnleluz8eu,neutral
37,2022-06-14 05:38:53+00:00,Subaggiyo, ipbofficial spotipb sudah bukan zamannya saling adu gigi samakan visi dan bersatu taman kolaborasi mari kita ukir sejarah atas , ipbofficial spotipb zamannya adu gigi samakan visi bersatu taman kolaborasi mari ukir sejarah ,neutral
38,2022-06-14 05:25:41+00:00,kb_ntb,sasambohariini untuk sahabatbahasa dan sahabatdikbud yaitu kata palopo dalam bahasa samawa sumbawa httpstcomhu2tbzucf,sasambohariini sahabatbahasa sahabatdikbud palopo bahasa samawa sumbawa httpstcomhu2tbzucf,neutral
39,2022-06-14 05:19:58+00:00,v_putriw, educology_id halo sahabatedu banyak sekolah yang mengeluh tidak dapat mengadopsi kurikulum merdeka karena memiliki sarana dan , educology_id halo sahabatedu sekolah mengeluh mengadopsi kurikulum merdeka memiliki sarana ,neutral
40,2022-06-14 05:14:17+00:00,NikenViant, educology_id halo sahabatedu banyak sekolah yang mengeluh tidak dapat mengadopsi kurikulum merdeka karena memiliki sarana dan , educology_id halo sahabatedu sekolah mengeluh mengadopsi kurikulum merdeka memiliki sarana ,neutral
41,2022-06-14 05:07:19+00:00,nugraharani, educology_id halo sahabatedu banyak sekolah yang mengeluh tidak dapat mengadopsi kurikulum merdeka karena memiliki sarana dan , educology_id halo sahabatedu sekolah mengeluh mengadopsi kurikulum merdeka memiliki sarana ,neutral
42,2022-06-14 04:53:47+00:00,Moh4madZainudin,selamat hari donor darah sedunia 2022 setetes darah bisa membuat perubahanl info pendaftaran kuliah 0812 httpstcoaph8bgihen,selamat donor darah sedunia 2022 setetes darah perubahanl info pendaftaran kuliah 0812 httpstcoaph8bgihen,neutral
43,2022-06-14 04:52:01+00:00,qoirunnisaputri, educology_id halo sahabatedu banyak sekolah yang mengeluh tidak dapat mengadopsi kurikulum merdeka karena memiliki sarana dan , educology_id halo sahabatedu sekolah mengeluh mengadopsi kurikulum merdeka memiliki sarana ,neutral
44,2022-06-14 04:50:48+00:00,imYeadHosen, feb_uia halo sobat minfeb ketika kelen menjadi mahasiswa lebih banyak boros hemat febuia uiakeren uiajaya kampusmerdeka , feb_uia halo sobat minfeb kelen mahasiswa boros hemat febuia uiakeren uiajaya kampusmerdeka ,neutral
45,2022-06-14 04:42:35+00:00,Feb_uia,halo sobat minfeb ketika kelen menjadi mahasiswa lebih banyak boros hemat febuia uiakeren uiajaya httpstcoo3risdkhh2,halo sobat minfeb kelen mahasiswa boros hemat febuia uiakeren uiajaya httpstcoo3risdkhh2,neutral
46,2022-06-14 04:40:41+00:00,villaingirlchan, kb_ntb sahabatbahasa dan sahabatdikbud konten selasasastra hari ini menampilkan lelakaq dalam masyarakat sasak lombok penul , kb_ntb sahabatbahasa sahabatdikbud konten selasasastra menampilkan lelakaq masyarakat sasak lombok penul ,neutral
47,2022-06-14 04:38:54+00:00,educology_id,halo sahabatedu banyak sekolah yang mengeluh tidak dapat mengadopsi kurikulum merdeka karena memiliki sarana httpstcoyboek46bcu,halo sahabatedu sekolah mengeluh mengadopsi kurikulum merdeka memiliki sarana httpstcoyboek46bcu,neutral
48,2022-06-14 03:52:41+00:00,Fikom_Gunadarma,dari beberapa kegiatan tersebut menjadi upaya fikom untuk dapat memonitor mahasiswa non kelas dan insipirasi httpstcoedmh7cqds1,kegiatan upaya fikom memonitor mahasiswa non kelas insipirasi httpstcoedmh7cqds1,neutral
49,2022-06-14 03:19:16+00:00,BadanBahasa, kb_ntb sahabatbahasa dan sahabatdikbud konten selasasastra hari ini menampilkan lelakaq dalam masyarakat sasak lombok penul , kb_ntb sahabatbahasa sahabatdikbud konten selasasastra menampilkan lelakaq masyarakat sasak lombok penul ,neutral
50,2022-06-14 03:06:58+00:00,HumasUnp,jadwal wisuda universitas negeri padang 127 httpstcoxsmvce0rsw universitasnegeripadang humasunp httpstcogocli0vvuc,jadwal wisuda universitas negeri padang 127 httpstcoxsmvce0rsw universitasnegeripadang humasunp httpstcogocli0vvuc,neutral
51,2022-06-14 02:57:16+00:00,PusdainfoU,dalam kuisioner ini kamu juga dapat menilai kualitas infrastruktur fasilitas sarana dan prasarana selama perkulia httpstcosiqjn95pcm,kuisioner menilai kualitas infrastruktur fasilitas sarana prasarana perkulia httpstcosiqjn95pcm,neutral
52,2022-06-14 02:51:29+00:00,LemdikKNPPOTDA, kemenkopmk pendaftaran dilakukan melalui tautan httpstcodu2y3ktgon untuk informasi lebih lengkap dapat menggunduh berkas http , kemenkopmk pendaftaran tautan httpstcodu2y3ktgon informasi lengkap menggunduh berkas http ,neutral
53,2022-06-14 02:51:15+00:00,LemdikKNPPOTDA, kemenkopmk sahabatpmk pendaftaran beasiswa microcredential bidang literasi bagi guru paud dan teachers college columbia universit , kemenkopmk sahabatpmk pendaftaran beasiswa microcredential bidang literasi guru paud teachers college columbia universit ,neutral
54,2022-06-14 01:45:34+00:00,unikomtwit, universitas komputer indonesia unikom jalin kerjasama dengan universitas multimedia nusantara umn baca httpstcotzz9lssisn, universitas komputer indonesia unikom jalin kerjasama universitas multimedia nusantara umn baca httpstcotzz9lssisn,neutral
55,2022-06-14 01:40:35+00:00,kb_ntb,sahabatbahasa dan sahabatdikbud konten selasasastra hari ini menampilkan lelakaq dalam masyarakat sasak lomb httpstcom8wmh9gxjh,sahabatbahasa sahabatdikbud konten selasasastra menampilkan lelakaq masyarakat sasak lomb httpstcom8wmh9gxjh,neutral
56,2022-06-14 01:24:38+00:00,endiStW, kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek dan unicefindonesia mengadakan webinar pemulihan layanan pendid , kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek unicefindonesia mengadakan webinar pemulihan layanan pendid ,neutral
57,2022-06-14 01:03:54+00:00,rethiesri, kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek dan unicefindonesia mengadakan webinar pemulihan layanan pendid , kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek unicefindonesia mengadakan webinar pemulihan layanan pendid ,neutral
58,2022-06-14 00:58:51+00:00,Kemdikbud_RI,seknas satuan pendidikan aman bencana kemendikbudristek dan unicefindonesia mengadakan webinar pemulihan layanan httpstcoraynequ4i0,seknas satuan pendidikan aman bencana kemendikbudristek unicefindonesia mengadakan webinar pemulihan layanan httpstcoraynequ4i0,neutral
59,2022-06-14 00:31:58+00:00,itk_official_,quotes the day pendidikan itu memudahkan yang sulit bukan menyulitkan yang mudah eka krisna santosa httpstcoynvli06pg0,quotes the day pendidikan memudahkan sulit menyulitkan mudah eka krisna santosa httpstcoynvli06pg0,neutral
60,2022-06-13 23:41:26+00:00,LPMP_KepBabel,ikuti siaran langsungnya melalui kanal youtube kemendikbud selasa juni 2022 mulai pukul 900 wib httpstcolzkudrxbc2,ikuti siaran langsungnya kanal youtube kemendikbud selasa juni 2022 900 wib httpstcolzkudrxbc2,neutral
61,2022-06-13 23:17:36+00:00,fti_uj,hai sobat fti rangkaian kegiatan hut ftiuj ke35 proudly present who wants brand ambassador ftiu httpstcok1ghz6zo8w,hai sobat fti rangkaian kegiatan hut ftiuj ke35 proudly present who wants brand ambassador ftiu httpstcok1ghz6zo8w,positif
62,2022-06-13 14:42:39+00:00,Rayhanyl,memperluas networking didunia kerja jika dibandingkan dengan yang hanya mengikuti kegiatan organisasi kampus kam httpstcohlpxuxjszf,memperluas networking didunia kerja dibandingkan mengikuti kegiatan organisasi kampus kam httpstcohlpxuxjszf,neutral
63,2022-06-13 14:37:39+00:00,Rayhanyl,menurut aku worth banget karena era sekarang sebuah perusahaan mengutamakan sebuah pengalaman dari calon kary httpstcofpwkqd8nok,worth banget era perusahaan mengutamakan pengalaman calon kary httpstcofpwkqd8nok,positif
64,2022-06-13 14:34:02+00:00,Rayhanyl,program kampus merdeka yang digagas mas menteri nadiem makarimprogram ini sangat bagus buktinya pak ing ilham httpstcocs8jotz9as,program kampus merdeka digagas mas menteri nadiem makarimprogram bagus buktinya ing ilham httpstcocs8jotz9as,neutral
65,2022-06-13 14:32:37+00:00,SomeByri,kampus merdeka ruang guru terlaly padat jadwalnya tugasnya banyak kampusmerdeka,kampus merdeka ruang guru terlaly padat jadwalnya tugasnya kampusmerdeka,neutral
66,2022-06-13 14:31:25+00:00,SomeByri,kampus merdeka uang saku termin cairnya lambat kampusmerdeka merdekabelajar msib,kampus merdeka uang saku termin cairnya lambat kampusmerdeka merdekabelajar msib,neutral
67,2022-06-13 14:31:02+00:00,SomeByri,kampusmerdeka merdekabelajar msib batch semoga lebih bagus dari batch dan ,kampusmerdeka merdekabelajar msib batch semoga bagus batch ,neutral
68,2022-06-13 14:29:42+00:00,SomeByri,kampusmerdeka merdekabelajar msib ruang guru tugasnya banyak banget,kampusmerdeka merdekabelajar msib ruang guru tugasnya banget,neutral
69,2022-06-13 14:29:22+00:00,SomeByri,kalau mau ikut kampus merdeka pikirpikir lagi kalau anda mahasiswa tingkat akhir kampusmerdeka merdekabelajar msib,kampus merdeka pikirpikir mahasiswa tingkat kampusmerdeka merdekabelajar msib,neutral
70,2022-06-13 14:28:49+00:00,SomeByri,uangnya kuota lama cairnya kampusmerdeka merdekabelajar msib,uangnya kuota cairnya kampusmerdeka merdekabelajar msib,neutral
71,2022-06-13 14:28:21+00:00,SomeByri,kenapa kampus merdeka uang studi independentnya uangnya ada kampusmerdeka merdekabelajar msib,kampus merdeka uang studi independentnya uangnya kampusmerdeka merdekabelajar msib,neutral
72,2022-06-13 12:54:27+00:00,HumasUnp,rektor unp dengan rektor tanda tangani kontrak hibah revitalisasi lptk tahun 2022 httpstcomzrfscwyvt httpstcopxrnba730e,rektor unp rektor tanda tangani kontrak hibah revitalisasi lptk 2022 httpstcomzrfscwyvt httpstcopxrnba730e,neutral
73,2022-06-13 12:18:28+00:00,ipbofficial,spotipb sudah bukan zamannya saling adu gigi samakan visi dan bersatu taman kolaborasi mari kita ukir sejarah httpstcoi3d0zquv84,spotipb zamannya adu gigi samakan visi bersatu taman kolaborasi mari ukir sejarah httpstcoi3d0zquv84,neutral
74,2022-06-13 12:09:21+00:00,perpusdikbud,hai sahabatperpusdikbud tinggal satu hari lagi loh perpustakaan kemendikbudristek kembali membuka layanan tatap httpstcoixvffvki6k,hai sahabatperpusdikbud tinggal loh perpustakaan kemendikbudristek membuka layanan tatap httpstcoixvffvki6k,neutral
75,2022-06-13 11:38:21+00:00,_luhhsundari,hallosaya luh sundari dari smanegeri1basarang kelas ipa sedang menjalankan asesmensumatif matapelajaran httpstcotdni9aardj,hallosaya luh sundari smanegeri1basarang kelas ipa menjalankan asesmensumatif matapelajaran httpstcotdni9aardj,neutral
76,2022-06-13 10:23:33+00:00,HexxaHS, kemdikbud_ri ibu dan ayah keterampilan motorik merupakan salah satu aspek penting pada tumbuh kembang anak perkembangan motorik , kemdikbud_ri ayah keterampilan motorik salah aspek tumbuh kembang anak perkembangan motorik ,neutral
77,2022-06-13 09:25:56+00:00,yoiyoidai, terpaduupi informasi lebih lengkap mengenai seleksi mandiri upi dijelaskan pada panduan yang tersedia laman pmb upi , terpaduupi informasi lengkap seleksi mandiri upi panduan tersedia laman pmb upi ,neutral
78,2022-06-13 09:20:58+00:00,Kemdikbud_RI,saatnya seninmain sahabatdikbud yuk bantu nisa menyelesaikan soal matematika berikut merdekabelajar httpstcot88ccerb6o,seninmain sahabatdikbud yuk bantu nisa menyelesaikan matematika merdekabelajar httpstcot88ccerb6o,neutral
79,2022-06-13 09:02:05+00:00,BismiSantri,menurut badan standar nasional pendidikan merdeka belajar adalah suatu pendekatan yang dilakukan supaya siswa dan httpstcojxecajq7qk,badan standar nasional pendidikan merdeka belajar pendekatan siswa httpstcojxecajq7qk,neutral
80,2022-06-13 08:59:02+00:00,hasnaaa08,um_fess ada kendala akun kampusmerdeka saat nambah tahun akademik gakkkk ,um_fess kendala akun kampusmerdeka nambah akademik gakkkk ,neutral
81,2022-06-13 08:51:49+00:00,PapaganTm,apapun kendalanya rapatkan barisan dan semangat guruindonesia semangatnusantara merdekabelajar,apapun kendalanya rapatkan barisan semangat guruindonesia semangatnusantara merdekabelajar,neutral
82,2022-06-13 08:41:00+00:00,apinsloml,hallo saya ristiawati dari sma negeri basarang kelas ipa sedang menjalankan asesmen sumatif mata pelajaran httpstcogceonwshus,hallo ristiawati sma negeri basarang kelas ipa menjalankan asesmen sumatif mata pelajaran httpstcogceonwshus,neutral
83,2022-06-13 08:23:29+00:00,upnjakarta,halo semua calon mahasiswa baru upnvj pastinya jalur semaupnvj sudah kalian tunggutunggu kan pantengin terus httpstcond1lvisc74,halo calon mahasiswa upnvj pastinya jalur semaupnvj tunggutunggu pantengin httpstcond1lvisc74,neutral
84,2022-06-13 07:59:24+00:00,mhsantosa, baliedukasi edukasi keliling negeri untuk anakanak bali baliedukasi edukasikelilingnegeri penyalaperadaban merdekabelajar , baliedukasi edukasi keliling negeri anakanak bali baliedukasi edukasikelilingnegeri penyalaperadaban merdekabelajar ,neutral
85,2022-06-13 07:31:45+00:00,HumasUnp,fis unp lokakarya bertema ikn bersama pengamat kebijakan publik andrinof chaniago httpstco31gzsspsrp httpstcoqw8mawenbi,fis unp lokakarya bertema ikn pengamat kebijakan publik andrinof chaniago httpstco31gzsspsrp httpstcoqw8mawenbi,neutral
86,2022-06-13 05:59:14+00:00,kb_ntb,sasambohariini untuk sahabatbahasa dan sahabatdikbud yaitu kata amp dalam bahasa sasak lombok httpstco0ifpsztxdd,sasambohariini sahabatbahasa sahabatdikbud amp bahasa sasak lombok httpstco0ifpsztxdd,neutral
87,2022-06-13 05:42:57+00:00,Feb_uia,halo sobat minfeb ada kabar baik nih astra international tbk asii tengah membuka lowongan kerja untuk accoun httpstcoibsq6tbyln,halo sobat minfeb kabar nih astra international tbk asii membuka lowongan kerja accoun httpstcoibsq6tbyln,neutral
88,2022-06-13 05:36:14+00:00,bisabisanyaanjg,um_fess iya tuh programnya sendiri jadi emang ada web kampus merdeka kemendikbud kalo web kampus httpstcozbnkumrvyw,um_fess iya tuh programnya emang web kampus merdeka kemendikbud kalo web kampus httpstcozbnkumrvyw,neutral
89,2022-06-13 05:28:28+00:00,um_fess, rek ini cara daftar daftar sippl aja web kampusmerdeka nya gimana salty rek sender beneran gak tahu , rek daftar daftar sippl aja web kampusmerdeka nya gimana salty rek sender beneran gak ,neutral
90,2022-06-13 05:19:16+00:00,KamiPengajar,dalam proses belajar mengajar ada dua hal yang selalu kita terapkan yaitu teori dan praktek nah saat mengajar httpstco0xopdolkgy,proses belajar mengajar terapkan teori praktek mengajar httpstco0xopdolkgy,neutral
91,2022-06-13 04:13:04+00:00,bpmp_gorontalo,penyerahan kenaikan pangkat dan pemberian penghargaan pegawai terbaik periode bulan mei 2022 halaman apel kan httpstcosh1qvztko8,penyerahan kenaikan pangkat pemberian penghargaan pegawai terbaik periode mei 2022 halaman apel httpstcosh1qvztko8,neutral
92,2022-06-13 04:05:38+00:00,radityavvard,its_fess kampusmerdeka linkedin,its_fess kampusmerdeka linkedin,neutral
93,2022-06-13 03:55:21+00:00,lldikti3,hallo threes kali ini sosok inspiratif yang akan membagikan pengalaman berharganya algania kurniawan dari univer httpstcofl1u9njdzv,hallo threes kali sosok inspiratif membagikan pengalaman berharganya algania kurniawan univer httpstcofl1u9njdzv,neutral
94,2022-06-13 02:07:07+00:00,sanytasari, kemdikbud_ri ibu dan ayah keterampilan motorik merupakan salah satu aspek penting pada tumbuh kembang anak perkembangan motorik , kemdikbud_ri ayah keterampilan motorik salah aspek tumbuh kembang anak perkembangan motorik ,neutral
95,2022-06-13 01:58:09+00:00,tarnalgaduin30, humasunp pusat riset crrowm unp lakukan aksi ramah lingkungan httpstco229t6h8kx9 universitasnegeripadang humasunp kampusmerdek , humasunp pusat riset crrowm unp lakukan aksi ramah lingkungan httpstco229t6h8kx9 universitasnegeripadang humasunp kampusmerdek ,neutral
96,2022-06-13 01:39:07+00:00,newsroombali, kanalbali mahasiswi universitasudayana bali raih penghargaan kancah internasional kampus mahasiswa kampusmerdeka httpst , kanalbali mahasiswi universitasudayana bali raih penghargaan kancah internasional kampus mahasiswa kampusmerdeka httpst ,neutral
97,2022-06-13 01:36:19+00:00,HumasUnp,pusat riset crrowm unp lakukan aksi ramah lingkungan httpstco229t6h8kx9 universitasnegeripadang humasunp httpstcopemivqnt1v,pusat riset crrowm unp lakukan aksi ramah lingkungan httpstco229t6h8kx9 universitasnegeripadang humasunp httpstcopemivqnt1v,neutral
98,2022-06-13 01:29:42+00:00,kanalbali,mahasiswi universitasudayana bali raih penghargaan kancah internasional kampus mahasiswa kampusmerdeka httpstcoqcddd3v69e,mahasiswi universitasudayana bali raih penghargaan kancah internasional kampus mahasiswa kampusmerdeka httpstcoqcddd3v69e,neutral
